wallet_address,name_token
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC (USDC)
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD (USDT)
0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,stETH (stETH)
