,lower avg_gwei,upper avg_gwei,predicted_gwei
2025-12-07 00:00:00+00:00,-0.6117453485313897,0.7287474752852712,0.05850106337694072
2025-12-07 01:00:00+00:00,-0.7655967300728017,0.8759600284654812,0.05518164919633967
2025-12-07 02:00:00+00:00,-0.8350359423733865,0.9408378185059657,0.052900938066289545
2025-12-07 03:00:00+00:00,-0.8700487579464631,0.9727165610313742,0.0513339015424555
2025-12-07 04:00:00+00:00,-0.8889796713870932,0.989494107976199,0.05025721829455293
2025-12-07 05:00:00+00:00,-0.8998722989222372,0.9989071952470514,0.04951744816240712
2025-12-07 06:00:00+00:00,-0.9065474968164164,1.0045658270351245,0.04900916510935404
2025-12-07 07:00:00+00:00,-0.9109140950582393,1.0082339605761041,0.04865993275893246
2025-12-07 08:00:00+00:00,-0.9139656595948723,1.0108056222954058,0.04841998135026678
2025-12-07 09:00:00+00:00,-0.9162397686610186,1.0127499985721864,0.04825511495558387
2025-12-07 10:00:00+00:00,-0.918038609007602,1.0143222853157141,0.04814183815405606
2025-12-07 11:00:00+00:00,-0.9195384542457155,1.0156664695558535,0.048064007655068984
2025-12-07 12:00:00+00:00,-0.9208457143402121,1.016866777715075,0.04801053168743152
2025-12-07 13:00:00+00:00,-0.9220265838405698,1.0179741624208605,0.04797378929014535
2025-12-07 14:00:00+00:00,-0.923123281656598,1.0190203701263596,0.04794854423488078
2025-12-07 15:00:00+00:00,-0.9241632741401865,1.0200256717425913,0.04793119880120241
2025-12-07 16:00:00+00:00,-0.9251647029632123,1.0210032650805023,0.04791928105864501
2025-12-07 17:00:00+00:00,-0.9261396864521472,1.0219618716266292,0.04791109258724105
2025-12-07 18:00:00+00:00,-0.9270963859802035,1.0229073188451798,0.04790546643248813
2025-12-07 19:00:00+00:00,-0.9280403303702374,1.0238435319711614,0.047901600800462046
2025-12-07 20:00:00+00:00,-0.928975280729291,1.0247731703145961,0.04789894479265257
2025-12-07 21:00:00+00:00,-0.9299038032502899,1.0256980430430456,0.0478971198963778
2025-12-07 22:00:00+00:00,-0.9308276525877464,1.0266193846722025,0.047895866042228064
2025-12-07 23:00:00+00:00,-0.9317480304023201,1.0275380394844877,0.047895004541083835
2025-12-08 00:00:00+00:00,-0.9326657606642522,1.0284545859018368,0.04789441261879234
2025-12-08 01:00:00+00:00,-0.933581408969007,1.02936942080779,0.04789400591939152
2025-12-08 02:00:00+00:00,-0.9344953639626172,1.0302828169293827,0.04789372648338276
2025-12-08 03:00:00+00:00,-0.9354078930122225,1.0311949619878493,0.04789353448781347
2025-12-08 04:00:00+00:00,-0.9363191803168847,1.0321059854589507,0.047893402571032986
2025-12-08 05:00:00+00:00,-0.9372293530205554,1.0330159768872198,0.04789331193333214
2025-12-08 06:00:00+00:00,-0.9381384991152549,1.0339249984307775,0.04789324965776125
2025-12-08 07:00:00+00:00,-0.9390466797207673,1.03483309345939,0.047893206869311256
2025-12-08 08:00:00+00:00,-0.9399539375096813,1.0357402924499202,0.047893177470119466
2025-12-08 09:00:00+00:00,-0.9408603024889284,1.0366466170298316,0.047893157270451604
2025-12-08 10:00:00+00:00,-0.9417657959678308,1.0375520827510607,0.04789314339161492
2025-12-08 11:00:00+00:00,-0.942670433281751,1.0384567009931716,0.047893133855710215
2025-12-08 12:00:00+00:00,-0.9435742256617309,1.0393604802692464,0.04789312730375773
2025-12-08 13:00:00+00:00,-0.9444771815179587,1.0402634271220115,0.04789312280202635
2025-12-08 14:00:00+00:00,-0.9453793073208784,1.0411655467388101,0.04789311970896586
2025-12-08 15:00:00+00:00,-0.9462806082060963,1.042066843373653,0.04789311758377837
2025-12-08 16:00:00+00:00,-0.9471810883896806,1.0429673206368795,0.04789311612359941
2025-12-08 17:00:00+00:00,-0.9480807514532948,1.043866981693967,0.04789311512033611
2025-12-08 18:00:00+00:00,-0.9489796005399685,1.0447658294019917,0.04789311443101153
2025-12-08 19:00:00+00:00,-0.9498776384885227,1.0456638664033002,0.04789311395738874
2025-12-08 20:00:00+00:00,-0.9507748679258745,1.046561095189816,0.04789311363197084
2025-12-08 21:00:00+00:00,-0.9516712913304306,1.0474575181471943,0.04789311340838192
2025-12-08 22:00:00+00:00,-0.9525669110756249,1.0483531375851407,0.0478931132547579
2025-12-08 23:00:00+00:00,-0.9534617294598304,1.0492479557582415,0.047893113149205545
2025-12-09 00:00:00+00:00,-0.9543557487269132,1.050141974880278,0.04789311307668238
2025-12-09 01:00:00+00:00,-0.9552489710803616,1.0510351971340675,0.04789311302685298
2025-12-09 02:00:00+00:00,-0.9561413986930045,1.0519276246782368,0.047893112992616074
2025-12-09 03:00:00+00:00,-0.9570330337137039,1.0528192596518888,0.0478931129690925
2025-12-09 04:00:00+00:00,-0.957923878271965,1.0537101041778247,0.04789311295292987
2025-12-09 05:00:00+00:00,-0.9588139344811203,1.05460016036477,0.04789311294182481
2025-12-09 06:00:00+00:00,-0.9597032044405353,1.0554894303089246,0.047893112934194716
2025-12-09 07:00:00+00:00,-0.9605916902371355,1.05637791609504,0.047893112928952215
2025-12-09 08:00:00+00:00,-0.9614793939464787,1.057265619797179,0.04789311292535019
2025-12-09 09:00:00+00:00,-0.9623663176335027,1.0581525434792531,0.04789311292287529
2025-12-09 10:00:00+00:00,-0.9632524633530593,1.0590386891954089,0.04789311292117484
2025-12-09 11:00:00+00:00,-0.964137833150298,1.059924058990311,0.04789311292000649
2025-12-09 12:00:00+00:00,-0.9650224290609435,1.060808654899351,0.047893112919203736
2025-12-09 13:00:00+00:00,-0.9659062531115068,1.0616924789488111,0.04789311291865218
